0	sns	host	domain	text	width	tcolor	bcolor	scolor	bicon	sicon	eicon	iicon	url	entry	exity	icon
21	0			Lemmy	16	#fff	#094	#094					https://join-lemmy.org/			data:image/webp;base64,UklGRugAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSHkAAAABcFtr25q8kQrr3G0Bd5jARslJh7V0rvMkJYfeN3DporhtEBETgP/S2ndaGo4xX3cF86WYt8aPHeXrVZ5vBPGwlq/XMqtcP1RY4+Dw7jAwgmKUVwpDAchdXp3SAAxNTngSuIYGoG356eJ6nU0KNgoA0olAp+1LpPFvAFZQOCBIAAAAkAEAnQEqDgAOAARAcCWkAALn8arAAP6xAXkliaxZumMdD1TEg5WRKk/5jcBNyYxlLtAoU16xSho9GEo7/tJHVTUq1ugqQgAA
22	0			Meow.fan	16	#111	#fff	#fff					https://meow.fan			data:image/webp;base64,UklGRtgAAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSH4AAAABgFtt27LmYQHGcR9CayZwd2kpoaKGv8TdJZ7KPb0nledp8AkiYgKwcWXAa1nuiWRKsALIHx95gTvOLeKVJEfYmcdPzvUKCxa2HasIIPnxs0QWz+Rhek6NZATH5AAPJDtqkhJkyBz0Fyf3APmIubYrAAWL2CCaZ6wCuEpgKwFWUDggNAAAANABAJ0BKhAAEAAPwP4lpAACBjxzMoYAAMltWgrLIh5TvvvGj8bkSg7uprsfCsrwa6HwAAA=
23																
24																
25																
26																
27																
28																
29																
30																
31																
32																
33																
34																
35																
36																
37																
38																
39																
40																
41																
42																
43																
44																
45																
46																
47																
48																
49																
50																
51																
52																
53																
54																
55																
56																
57																
58																
59																
60	0			Unknown	16	#fff	#268	#268								data:image/webp;base64,UklGRugAAABXRUJQVlA4WAoAAAACAAAADQAADQAAQU5JTQYAAAD/////AABBTk1GVgAAAAAAAAAAAA0AAA0AAGQAAAJWUDggPgAAALABAJ0BKg4ADgAJgLIlpAAwv4PHJAAAzUbqHSP3TToyfkcOGicfMrLTsKBfTuXdJBSOWOvsvLFxy2DPgwAAQU5NRl4AAAAAAAAAAAANAAANAABQAAAAVlA4IEYAAABUAQCdASoOAA4AAACyJaQAAAAAAPryLWbJVFgnxCXjZvn2JDzQ0iftLOZuujNag7QVMw9vyVT+6RCIhfUU2IbHhAj64AAA
61		これより上は拡張用														
62																
63																
64																
65	1	mstdn.maud.io	maud.io		28							Good Boy License	https://ja.mstdn.wiki/?curid=20	20170411T152000Z		data:image/webp;base64,UklGRiYBAABXRUJQVlA4WAoAAAAQAAAAFwAADQAAQUxQSIMAAAABcFtr25q8KXFZIFImA+Cwjru2MIIO4B0sQM+hZACHmj7u4T9MEBETAMC31BMANdgFQQs8zwtR2AMzXa/m8xVFLzIXRRRFfZL1A/GF7r486a7jILI6UZVDmoyyR4GMrjPXf0OKVHBEilNJHTQy6vDRdjvOdFl1UkoUnXT7fvTG2alFAQBWUDggfAAAAHAEAJ0BKhgADgA/eabJWjWsqKQwCAKwLwlkAHcABEu1BihvyjkjR9nqMK1AAP5wrQNGxikWWXSSH1RqJCP5ULBUMTU514IYA2fId8Vxi0du5ddhIaWDlYQ0PLX9GY6kmBRp/rprRqVxtnvc9kOlLtwc86i1wdill+7fAAA=
66																
67																
68																
69	1	mastodon.juggler.jp	juggler.jp										https://ja.mstdn.wiki/?curid=491	20170412T172600Z		data:image/webp;base64,UklGRugAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSH8AAAABcFpt27K8uEeN8Gd0DLaARNXs7pB8DKLLCr80Ds3d4fu+9gMbRMQECEzRPrvHeM/24mYBNX5+ECYEo89zRhWfhOeryCA+eH4n/8T80JsX3m4xH0RziA8JDz48FgF94UVYt7fcqoVcTgVYVmTjk2oNOg0AgNRzeS/7nXo3bQQAAFZQOCBCAAAA8AEAnQEqDgAOAAVAfCWwAnS6AAIq8lwAAPjVLoqnFcH4zcI+4yOee4AYKc0q0Ju9gF+a94fO6pF8Cfsm4mw/KIAA
70	1	m6n.onsen.tech	onsen.tech										https://ja.mstdn.wiki/?curid=492	20170413T043600Z		
71																
72																
73	1	toot.yukimochi.jp	yukimochi.jp										https://ja.mstdn.wiki/?curid=1832	20170413T165900Z		
74	1	tablegame.mstdn.cloud	mstdn.cloud										https://ja.mstdn.wiki/?curid=564	20170414T013600Z		
75	1	isidai.com	isidai.com											20170414T042400Z		
76	1	mstdn.blue	mstdn.blue										https://ja.mstdn.wiki/?curid=494	20170414T042600Z	20210701T000000Z	
77	1	comm.cx	comm.cx											20170414T091200Z	20211108T000000Z	
78	1	pawoo.net	pawoo.net						transparent				https://ja.mstdn.wiki/?curid=12	20170414T095300Z		data:image/webp;base64,UklGRpQAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSD8AAAABN6AmAAE2aNwiiCWHiIjsjQkGkSQ1KhwkCyAAC3wQEBVA+9fxCiL6n3Gghr7wlQu0CU4/TnBeoPWFr8SBGgAAVlA4IC4AAAAQAgCdASoOAA4ADMDOJZQAApQYaErCOc0AAP5vyFdzhhOJkjcirBI9B4M7EFAA
79	1	md.ggtea.org	ggtea.org											20170414T104300Z		
80	1	vmrpc.net	vmrpc.net											20170414T130100Z	20210723T000000Z	
81	1	pao.moe	pao.moe											20170414T135600Z		
82	1	mstdn.barippi.com	barippi.com										https://ja.mstdn.wiki/?curid=496	20170414T145900Z		
83																
84																
85																
86	1	mstdn.kemono-friends.info	kemono-friends.info	ますとどんちほー			#383	#383					https://ja.mstdn.wiki/?curid=180	20170414T150300Z		data:image/webp;base64,UklGRt4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSIkAAAABgGJb27LqY5Gc6tUTA2AADEITiQZJo1t1re6QmINed3fXz65+Y4iICeCo3b31ewjv13seNUc/hphQSinBcGJIQsoIU7uEhexCyowo+ydmIjcvbItDwoLzU8xwUzeGID2r5erdRilqkwPTIb20SKQqmYQLAOC5zvFGIehNO8FvgTkzu308nDp+AQBWUDggLgAAAJABAJ0BKg4ADgAIQKYlsAJ0AQvQAAD18I6eMbE4IjWA2sF2+Pe5aJI4wmkjsAA=
87	1	mstdn.misosi.ru	misosi.ru											20170414T153100Z		data:image/webp;base64,UklGRuQAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSIkAAAABgGJb27LqY5Gc6tUTA2AADEITiQZJo1t1re6QmINed3fXz65+Y4iICeCo3b31ewjv13seNUc/hphQSinBcGJIQsoIU7uEhexCyowo+ydmIjcvbItDwoLzU8xwUzeGID2r5erdRilqkwPTIb20SKQqmYQLAOC5zvFGIehNO8FvgTkzu308nDp+AQBWUDggNAAAAPABAJ0BKg4ADgAKQLglsAJ0AQKZ8IAAAADNyHHszvPPaeWlI5bU2TRiw8Pk+Wc38iSAAAA=
88	1	www.mstddntfdn.online	mstddntfdn.online											20170414T153400Z		
89	1	handon.club	handon.club	はんドンクラブ		#fff	#00a4ac	#00a4ac					https://ja.mstdn.wiki/?curid=2513	20170414T171300Z		
90	1	7144.party	7144.party											20170414T173900Z		
91	1	inari.opencocon.org	opencocon.org											20170414T183700Z		
92	1	mstdn.jp	mstdn.jp										https://ja.mstdn.wiki/?curid=8	20170414T185000Z		
93	1	imastodon.net	imastodon.net						transparent				https://ja.mstdn.wiki/?curid=48	20170415T015700Z		data:image/webp;base64,UklGRoQAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSBIAAAABD3D//4iIIBBI2p98g4j+Rw5WUDggTAAAAPABAJ0BKg4ADgAGAIgloAJ0APEyXJiWAAD+6ydd0zYe+8QLCiolCBjEpREnNxGFuOsno5j+7mEwL5a9S4wtEanax4b92zdpEqTAAAA=
94	1	mustardon.tokyo	mustardon.tokyo											20170415T041900Z		
95	1	mastodon.zunda.ninja	zunda.ninja											20170415T043800Z		data:image/webp;base64,UklGRsAAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSGkAAAABcFPbthMdEPEVIIMOE3FyPwIQREVNTY0GRGSoWHfCAw0RMQEc3qTC4zBepf3tGf5llaS9MOhk/73K/sx9kL3eIJtkrzGEm8y+uwCR7BIfCBpjePHvqr/pzr+rVTXaMsxWtQuiEFut4ywAVlA4IDAAAABwAQCdASoOAA4ACwDAJbAC7AAAAAD29HnLxT2fOQp37FjWvuPfXJahSbEx6CPCAAA=
96	1	djanzu.tokyo	djanzu.tokyo											20170415T061300Z		
97	1	mstdn.kanagu.info	kanagu.info						#fff					20170415T082800Z		data:image/webp;base64,UklGRvIAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSKwAAAABgKJt27Hp+q2xbXsampVtcwlGmvSnUfcCJjnZtq1k+11EREwA/6VuebXZngrEkRNvd69LOVqBz9hDT1X7wW2eEpA1P3eYIi06X3YFAiZvQgHbga9wIOu2zwwkSZvXAUDdd44UXf7mQZkGrDt3ArFtuBqNViCPaDvVWwR3XbR5AAFL+y0hafOrlYYAsS96rMcn4hG6Dk8nFx40ykTSsP6Dg6MoiQiJY1ZTohoxVlA4ICAAAABwAQCdASoOAA4AD8D+JbACdAGgAAD+OqeltkARVgAAAA==
98	1	kemonodon.club	kemonodon.club										https://ja.mstdn.wiki/?curid=2390	20170415T091800Z		
99	1	mstdn.res.ac	res.ac											20170415T104400Z		
100	1	mstdn-jp.site	mstdn-jp.site											20170415T110600Z		
