[0] #InstanceTicker (Type-1) Ver.201903050014.tsv - (c)weepjp (c)kyori19 MIT License.	[1] ScreenName	[2] DomainName	[3] FontColor	[4] BackGroundColor	[5] ImgPath	[6] ImgWidth	[7] ImgLicense	[8] WikiURL	[9] UsersVoiceURL	[10] ImgLicenseURL	[11] AdminsVoiceURL	[12] Missingno.12	[13] Missingno.13
1	gensokyo.town	gensokyo.town	#fff	#26a	https://wee.jp/f/gensokyo.town	18	(favicon.ico)	https://ja.mstdn.wiki/Gensokyo.town					
1	social.mikutter.hachune.net	social.mikutter.hachune.net	#fff	#26a	https://wee.jp/f/social.mikutter.hachune.net	18	(favicon.ico)	https://ja.mstdn.wiki/Social.mikutter.hachune.net					
1	pcgamer.social	pcgamer.social	#fff	#26a	https://wee.jp/f/pcgamer.social	18	(favicon.ico)						
1	dtp-mstdn.jp	dtp-mstdn.jp	#fff	#26a	https://wee.jp/f/dtp-mstdn.jp	18	(favicon.ico)	https://ja.mstdn.wiki/DTP-Mstdn.jp					
1	mstdn.h3z.jp	mstdn.h3z.jp	#fff	#26a	https://wee.jp/f/mstdn.h3z.jp	18	(favicon.ico)						
1	social.0ko.me	social.0ko.me	#fff	#26a	https://wee.jp/f/social.0ko.me	18	(favicon.ico)						
1	don.gomasy.jp	don.gomasy.jp	#fff	#26a	https://wee.jp/f/don.gomasy.jp	18	(favicon.ico)						
1	ミニ四駆DON	mstdn.mini4wd-engineer.com	#fff	#26a	https://wee.jp/o/mini4wd.png	32	管理者提出	https://ja.mstdn.wiki/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86DON	https://mstdn.mini4wd-engineer.com/@kumanotetu/101067852009767326	https://archive.fo/X3zwy	https://archive.fo/X3zwy		
1	claristdon.net	claristdon.net	#fff	#26a	https://wee.jp/f/claristdon.net	18	(favicon.ico)						
1	claris.cf	claris.cf	#003	#ffc7c8	https://wee.jp/o/claris_cf.png	17	管理者提出	https://ja.mstdn.wiki/Claris.cf		https://archive.fo/Okzug	https://archive.fo/Okzug		
1	toot.playground.ws	toot.playground.ws	#fff	#26a	https://wee.jp/f/toot.playground.ws	18	(favicon.ico)						
1	m.auri.ga	m.auri.ga	#fff	#26a	https://wee.jp/f/m.auri.ga	18	(favicon.ico)						
