[0] #InstanceTicker (Type-0) Ver.201912081130.tsv - Fedplaset is (c)weepjp  MIT License.	ScreenName	ServerName	FontColor	BGColor	ImgPath	ImgWidth	ImgLicense	WikiURL	ID	ImgLicenseURL	AdminsVoiceURL	no12	no13
1	edge4cube.work	social.edge4cube.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		82		https://archive.fo/CMDLO		
1	ekimemo.info	ekimemo.info	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		799				
1	eizodon.jp	eizodon.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		870				
1	eletusk.club	eletusk.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		85				
1	elict.net	elict.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		868				
1	pm.ernix.jp	pm.ernix.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		86				
1	ertona.net	ertona.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		87				
1	m.eula.dev	m.eula.dev	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		88				
1	mstdn.f72u.net	mstdn.f72u.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		89				
1	fanfare.horse	fanfare.horse	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		863				
1	felesitas.cloud	felesitas.cloud	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		90				
1	fedibird.com	fedibird.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		91				
1	fetishdon.tk	fetishdon.tk	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		92				
1	ffxiv-mastodon.com	ffxiv-mastodon.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Ffxiv-mastodon.com	93				
1	ifrit.gaia.ff14-mstdn.xyz	ifrit.gaia.ff14-mstdn.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		94				
1	fla.red	fla.red	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Fla.red	95				
