id 	sns	sc	fav	lang	(c)2021 #InstanceTicker Released under the MIT license.	domain	sname	text	width	tcolor	bcolor	scolor	bicon	sicon	iicon	entry	exity	webp	avif
21	0							Lemmy	14	#fff	#094	#094						data:image/webp;base64,UklGRugAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSHkAAAABcFtr25q8kQrr3G0Bd5jARslJh7V0rvMkJYfeN3DporhtEBETgP/S2ndaGo4xX3cF86WYt8aPHeXrVZ5vBPGwlq/XMqtcP1RY4+Dw7jAwgmKUVwpDAchdXp3SAAxNTngSuIYGoG356eJ6nU0KNgoA0olAp+1LpPFvAFZQOCBIAAAAkAEAnQEqDgAOAARAcCWkAALn8arAAP6xAXkliaxZumMdD1TEg5WRKk/5jcBNyYxlLtAoU16xSho9GEo7/tJHVTUq1ugqQgAA	
22	0							Meow.fan	14	#111	#fff	#fff						data:image/webp;base64,UklGRtwAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSGYAAAABgGJb27LqYQLMSAehmRHQLLKoRBpZoicnS3KnOyTn4HDvCCJiAvRl0Of+CAgnPZLizYbvCUhpDVB7xZ7/uTt9sIR65EUeaEJFM6BgAqIQk63XmkowlyTvQFLCbbQbnhw5SYOQvgdWUDggUAAAADACAJ0BKg4ADgAHgJolpAAPipFpru0l2e8AAP4f7a06o+mJfBA+4pVQMntuzyzDaARdqHAWKvBvsWiHzA5V8x/OScc3I7zxtHvo9Lh1uAAA	
23	0							Mostr	14	#fff	#08d	#08d						data:image/webp;base64,UklGRmAAAABXRUJQVlA4IFQAAADwAQCdASoOAA4ACwDAJbACdAYvW3iIGlAA8iZEo0llUwxTOXjlnf17fm48S8f+Jn9JnEMwkEou9k8GMbEEgGlZYRk6nlJHlMNnatj7PuuNza+kAAA=	
24	0							HomeTown	14	#000	#ccd	#fff						data:image/webp;base64,UklGRsIAAABXRUJQVlA4ILYAAABwAwCdASoQABAAAcAsJaQATgA8zvJc1AP0/6pJwI9X6PwSGAAA/v7UugnlocZGfsEb3wJSmROK6Rz7Tf/JOy/VHh0jqb4qbPI61edvR//8KM5X/mJV5ospMMGR3ZPzBR92RPfpCvn/5FcP+mxW8B3QrBewC1apm3j5LyV9DiIKgX7VSefPTX3l/QH8dvdjjHb78y+ovPWKP9f0d/muu2b+0R7r8k2IRyROPyxdTBItQGt9LMAAAA==	
25	0							Notestock	14	#000	#fff	#fff						data:image/webp;base64,UklGRt4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJQAAAANgFtt27Lm/v3HoXPdgtKhZBntmUOzgWvnSZdM4O6u3//FZ4iICSCzmOX3q/w2XpM/NUdyuh5AFRIUsnAz+7K1l/OAtAOQ7Rjr6w1AeejuYer4HB3AeHEA1M1xn4LUIvxqP9+PhWuK9YsoF1hKJN57xz/QQLvzvFj87Qx3zNA/1HrkfuL6LyVD4OwWKXShSAVhvGsAVlA4ICQAAABwAQCdASoOAA4AD8DOJbACdAGIQAD5oV1gYFeGzVzZzKylgAA=	
26	0							Foundkey	14	#912	#fcf8f3	#fff						data:image/webp;base64,UklGRhABAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSIsAAAABgGNt2zHnGXe27elcz5nK9hK4i6h2axtV+qSzVWa62Oa3hoiYAKrfJWJRAApL7FcDleb68kBfb//S1oYT4E1+/n1ZBoCOf87tNIC99s/74nQAyrN/Pj8/VyA7IrnQdN6SjMx9Eq++klwOBR8I3htUjBMMsQHDzN39XvP58axFCAC8UEztzqcsFAAAAFZQOCBeAAAAMAIAnQEqDgAOAAWAfiWwAnQAxqM0xUrtwwAA/qJvS+HT8VQO3XeyADchhzrnL0kXzEM7nmU5V2pmuHxWLnnZpowJgkFAAQa9MJ89uBJOP+MSIeu5ldJKR2eZ6mIAAA==	
27	0							Fedibird	14	#fff	#26a	#909						data:image/webp;base64,UklGRoABAABXRUJQVlA4WAoAAAAQAAAADwAADwAAQUxQSHYAAAABcFpt27I8m5CYgEjzDagkh+QOkUQmkXwAd5dGojpEd3/xb4WImAAA7kJvfn1s++0AFwD29K8GaNL/ADF65SwJI0vNxJI1sMQVLH4pix4MY+BM9PhxjAEoEV3A13ntMg4+BUTkwd8+Ipp1at3rD/BC3TWdesEvVlA4IOQAAAAQBACdASoQABAAAcAsJbACdLoB+AC2/8kg/bf0jimS+LZ3DSG/aOlt4AD+7SSZhIdGH0inef4bOdGZJVvhTTIxVuTL/RMf0UC34RCRPZltv60b9MitYR/9JhwxwzTJ7Kre7/0kUbR7eWGme5W+z/1pr/D9FC5dKsiPt1DFNlIx6UlzBlOHSQzv1fu1zRZU91ws5CHdB8acc3LKHimQ582mAfeyMf/jmwdbPPNW5+t4JP6EM+tCsPoM7F3vnP3GXRj/+aHbC3T+R/yL4yj4M/f5d2D3yMEL+N7xs7/Ge5mDUZSYAAA=	
28	0							Soapbox	14	#fff	#333	#08d						data:image/webp;base64,UklGRvgAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSK4AAAABgGPb1vLkfN+fBB+AW+9O715lZRBQQckU0uLu0LKo3d2p3aF0vvXfaUREYACspfPjZyTekBSpAiKSrwESNqRoQs6mnK9PWvTra2X8Ss7pkQpJD8kU/0hqM3S56xY8co/2WjEEl5KxBIlW41nSZ7HGI7hQgUd45aoYS/aJttJol/RTiJ3Xr7p50r/T5czig340w6d8p42smMo3vZYwJF8KA6n1qZiEke+3DqyxgAVWUDggJAAAAJABAJ0BKg4ADgAMwM4loAJ0ugADmAD+u7dzrYu1818QLcAAAA==	
29	0							bird.makeup / BirdsiteLIVE	14	#f03	#fff	#fff						data:image/webp;base64,UklGRt4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSJMAAAABgGNt2/HojW3b1h60AqvKEtKaC+AuUqfMVJ6pPdPZNn7/a4iICQByscdvYgMlp37+vJK2cuQ5HwDE7hAEOZ+ofefLWjHefEcQBFk1B74R5Grv8Jdw7R1+IDTfA/NfOtfe1B2dLathQacjUox+qHZ8AKrOCdlplglgnp2T7FYEACCqbjx9fxyMwlwgciz+YNApAyIAVlA4ICQAAABwAQCdASoOAA4ADMDOJbACdAF1AAD+3ExYt+SXqT8q9daAAAA=	
30	0							Ohagi	14	#000	#ded	#ded						data:image/webp;base64,UklGRjIAAABXRUJQVlA4ICYAAADQAQCdASoOAA4AD8D+JQBOgBZrpWos4ADfFMwjpse8f9K8aAEAAA==	
